idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error,success_rate
0.000000000000000000e+00,5.000000000000000278e-02,1.901557476615113942e-02,1.482373981066259852e-03,2.983249418796748639e-02,1.050592437907285235e-03,1.000000000000000000e+00
0.000000000000000000e+00,7.266666666666667107e-02,1.911542124490251196e-02,1.492078106422523769e-03,2.988752758931847997e-02,1.072852570570310840e-03,1.000000000000000000e+00
0.000000000000000000e+00,1.406666666666666621e-01,1.925673622463702078e-02,1.545785075802833452e-03,2.997203410486464284e-02,1.110899406733984211e-03,1.000000000000000000e+00
0.000000000000000000e+00,1.293333333333333279e-01,1.938659153836181509e-02,1.572028933168596702e-03,3.007416518412513867e-02,1.114937485676293543e-03,1.000000000000000000e+00
0.000000000000000000e+00,8.399999999999999134e-02,1.947632964292047436e-02,1.576357234229527286e-03,3.015996818492932413e-02,1.100382647459473198e-03,1.000000000000000000e+00
0.000000000000000000e+00,1.519999999999999962e-01,1.956136184042197787e-02,1.604378019156847170e-03,3.022980391884319898e-02,1.104472906906410002e-03,1.000000000000000000e+00
0.000000000000000000e+00,1.179999999999999938e-01,1.963050814256067644e-02,1.660530123623753717e-03,3.024049563300329480e-02,1.147042777346655388e-03,1.000000000000000000e+00
0.000000000000000000e+00,1.066666666666666596e-01,1.969718920552280747e-02,1.701068515002713893e-03,3.034251959210829130e-02,1.147798671095295658e-03,1.000000000000000000e+00
0.000000000000000000e+00,1.633333333333333304e-01,1.975452643285486101e-02,1.705134285823626345e-03,3.038028186181398332e-02,1.143085616697637032e-03,1.000000000000000000e+00
0.000000000000000000e+00,6.133333333333333692e-02,1.982227993539157837e-02,1.763535869651806183e-03,3.040481525489407977e-02,1.188019440799609281e-03,1.000000000000000000e+00
0.000000000000000000e+00,9.533333333333332549e-02,1.986484927226670263e-02,1.786992236777919804e-03,3.045822880798121357e-02,1.181171463072548363e-03,1.000000000000000000e+00
0.000000000000000000e+00,1.746666666666666645e-01,1.991161363039346474e-02,1.802474536328001198e-03,3.049222980745053269e-02,1.190195319584922990e-03,1.000000000000000000e+00
0.000000000000000000e+00,1.859999999999999987e-01,1.993986227150655252e-02,1.796604808118144056e-03,3.050055862962641751e-02,1.192071304874529327e-03,1.000000000000000000e+00
0.000000000000000000e+00,1.973333333333333051e-01,2.005436335903751366e-02,1.876132208418803023e-03,3.054406261465763064e-02,1.220118096843329650e-03,1.000000000000000000e+00
0.000000000000000000e+00,2.086666666666666670e-01,2.013772402768012129e-02,1.937219188986871732e-03,3.059990783537573991e-02,1.225137925558467599e-03,1.000000000000000000e+00
0.000000000000000000e+00,2.200000000000000011e-01,2.001578947186682250e-02,1.900613245249462447e-03,3.054010222542807504e-02,1.262161318952941891e-03,9.285714285714286031e-01
1.000000000000000000e+00,5.000000000000000278e-02,1.144032818237340592e-02,1.461365062628622183e-03,1.382041290825191185e-02,1.695013415848102469e-03,1.000000000000000000e+00
1.000000000000000000e+00,7.266666666666667107e-02,1.149761894417228834e-02,1.499144448625903134e-03,1.386849413649932430e-02,1.713215373245535527e-03,1.000000000000000000e+00
1.000000000000000000e+00,1.406666666666666621e-01,1.164232572098850178e-02,1.640994719965823290e-03,1.399422176388145922e-02,1.821752964375789778e-03,1.000000000000000000e+00
1.000000000000000000e+00,1.293333333333333279e-01,1.173303501617503804e-02,1.629777010564726616e-03,1.409698505412313417e-02,1.795692980200615761e-03,1.000000000000000000e+00
1.000000000000000000e+00,8.399999999999999134e-02,1.181702537076621991e-02,1.661493342395884646e-03,1.416206503105486326e-02,1.814634815375463844e-03,1.000000000000000000e+00
1.000000000000000000e+00,1.519999999999999962e-01,1.190411221571833003e-02,1.695358521248917184e-03,1.421514668771679986e-02,1.846595686780819418e-03,1.000000000000000000e+00
1.000000000000000000e+00,1.179999999999999938e-01,1.198116667961653115e-02,1.728200467653635700e-03,1.431710798683965592e-02,1.889151111336276724e-03,1.000000000000000000e+00
1.000000000000000000e+00,1.066666666666666596e-01,1.203805981257630164e-02,1.716822659372909147e-03,1.437656872025795847e-02,1.866097215086903738e-03,1.000000000000000000e+00
1.000000000000000000e+00,1.633333333333333304e-01,1.210942617839678125e-02,1.766296725536685083e-03,1.442579151050500490e-02,1.905705434519000150e-03,1.000000000000000000e+00
1.000000000000000000e+00,6.133333333333333692e-02,1.215764660214128760e-02,1.775769525170387822e-03,1.448326966133502668e-02,1.977283653916695350e-03,1.000000000000000000e+00
1.000000000000000000e+00,9.533333333333332549e-02,1.220984818900736936e-02,1.804687649761813712e-03,1.451989333471940917e-02,1.958911577580171870e-03,1.000000000000000000e+00
1.000000000000000000e+00,1.746666666666666645e-01,1.228002825631801902e-02,1.793664501397588531e-03,1.462362240833873193e-02,1.938583283140354061e-03,1.000000000000000000e+00
1.000000000000000000e+00,1.859999999999999987e-01,1.244019750739551455e-02,1.887276417415455080e-03,1.481545951670192388e-02,2.079788362620544218e-03,1.000000000000000000e+00
1.000000000000000000e+00,1.973333333333333051e-01,1.258088977416087564e-02,1.979028998751322828e-03,1.488264689465880128e-02,2.084850650931041778e-03,1.000000000000000000e+00
1.000000000000000000e+00,2.086666666666666670e-01,1.595846088622989226e-02,1.283035225285716376e-02,1.886355565220091887e-02,1.492148692769607911e-02,1.000000000000000000e+00
1.000000000000000000e+00,2.200000000000000011e-01,1.259421307250422652e-02,1.899985785841776069e-03,1.492397766465591684e-02,2.048490791046888183e-03,9.285714285714286031e-01
2.000000000000000000e+00,5.000000000000000278e-02,1.913373064231171927e-02,1.363607219881199156e-03,2.379688724422170457e-02,1.183647071757235264e-03,1.000000000000000000e+00
2.000000000000000000e+00,7.266666666666667107e-02,1.915193536678265127e-02,1.368172022752040884e-03,2.381656819566604910e-02,1.200713064216608113e-03,1.000000000000000000e+00
2.000000000000000000e+00,1.406666666666666621e-01,1.921017893324317855e-02,1.469450718837098536e-03,2.385044968533681781e-02,1.259859707407816028e-03,1.000000000000000000e+00
2.000000000000000000e+00,1.293333333333333279e-01,1.929974633052111352e-02,1.591075831554968718e-03,2.392496921542997673e-02,1.359493142082941362e-03,1.000000000000000000e+00
2.000000000000000000e+00,8.399999999999999134e-02,1.936512116794189206e-02,1.643958072990438397e-03,2.396486775128834831e-02,1.359932272371739857e-03,1.000000000000000000e+00
2.000000000000000000e+00,1.519999999999999962e-01,1.941788815492114309e-02,1.664168285858320462e-03,2.402012964812423254e-02,1.383504121815173427e-03,1.000000000000000000e+00
2.000000000000000000e+00,1.179999999999999938e-01,1.946258711511757514e-02,1.679329450991509784e-03,2.408905493952289215e-02,1.372419909617990895e-03,1.000000000000000000e+00
2.000000000000000000e+00,1.066666666666666596e-01,1.952071863444150915e-02,1.721572177865864821e-03,2.414654395545735160e-02,1.446405112387149717e-03,1.000000000000000000e+00
2.000000000000000000e+00,1.633333333333333304e-01,1.962697511563277208e-02,1.811751454468553835e-03,2.424556610210813062e-02,1.491631148823592979e-03,1.000000000000000000e+00
2.000000000000000000e+00,6.133333333333333692e-02,1.968363228740852011e-02,1.819867116010104703e-03,2.434082484932490603e-02,1.606680723230765077e-03,1.000000000000000000e+00
2.000000000000000000e+00,9.533333333333332549e-02,1.986882017651468019e-02,2.089142766630267510e-03,2.453582205114571146e-02,2.004350741944178633e-03,1.000000000000000000e+00
2.000000000000000000e+00,1.746666666666666645e-01,2.019997009031731031e-02,2.700495678549240039e-03,2.497945916083920900e-02,2.942765925633205465e-03,1.000000000000000000e+00
2.000000000000000000e+00,1.859999999999999987e-01,2.121394245239500292e-02,5.500132436349692948e-03,2.610389823987608118e-02,6.394536604581071114e-03,1.000000000000000000e+00
2.000000000000000000e+00,1.973333333333333051e-01,2.272663037122954130e-02,1.006221324166626033e-02,2.765966916519991062e-02,1.109695788412421412e-02,1.000000000000000000e+00
2.000000000000000000e+00,2.086666666666666670e-01,2.049281335854926181e-02,7.400615130218743398e-02,2.521855407731257367e-02,1.728954594036244885e-03,1.000000000000000000e+00
2.000000000000000000e+00,2.200000000000000011e-01,2.196875083135001183e-02,2.920865309031787059e-03,2.683627230401990083e-02,3.356238293581199818e-03,9.285714285714286031e-01
3.000000000000000000e+00,5.000000000000000278e-02,1.551113884988250188e-02,1.121220479674075229e-03,1.965399514117651888e-02,1.837813804384679948e-03,1.000000000000000000e+00
3.000000000000000000e+00,7.266666666666667107e-02,1.561192069827461656e-02,1.123867791054088735e-03,1.973569731524957294e-02,1.835022102464354448e-03,1.000000000000000000e+00
3.000000000000000000e+00,1.406666666666666621e-01,1.578537319642833031e-02,1.178235151692541257e-03,1.989226369185943116e-02,1.854783570472987031e-03,1.000000000000000000e+00
3.000000000000000000e+00,1.293333333333333279e-01,1.598534461361596909e-02,1.168291813899215289e-03,2.007003293652960194e-02,1.868563396303509492e-03,1.000000000000000000e+00
