idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error,crashed
0.000000000000000000e+00,0.000000000000000000e+00,1.632686479685082834e-02,2.573851128446617322e-04,2.705334584557585534e-02,1.328932335417821618e-04,0.000000000000000000e+00
0.000000000000000000e+00,6.666666666666666574e-02,1.638818504470575602e-02,2.434242055762702868e-04,2.710715566171979438e-02,1.241805517314069200e-04,0.000000000000000000e+00
0.000000000000000000e+00,1.333333333333333315e-01,1.655091536796947371e-02,1.953429684773511186e-04,2.725922820760987714e-02,1.027927452913076332e-04,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.681337383029840593e-02,1.265061068454403437e-04,2.750696995115003984e-02,7.751311977902484833e-05,0.000000000000000000e+00
0.000000000000000000e+00,2.666666666666666630e-01,1.713159498601231692e-02,9.346932230508757605e-05,2.780389562478232518e-02,6.234357832692634241e-05,0.000000000000000000e+00
0.000000000000000000e+00,3.333333333333333148e-01,1.743907797095955309e-02,1.037669271676118737e-04,2.806440615554394238e-02,5.338135572629908724e-05,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000222e-01,1.766385180320586765e-02,1.177824238001754864e-04,2.825370069594833680e-02,4.568306644593455928e-05,0.000000000000000000e+00
0.000000000000000000e+00,4.666666666666666741e-01,1.782155179203730871e-02,1.281894407745553795e-04,2.838946121431679820e-02,4.282017703510077852e-05,0.000000000000000000e+00
0.000000000000000000e+00,5.333333333333333259e-01,1.792599933683546726e-02,1.298290320055627575e-04,2.848720004553816770e-02,4.190515735237810213e-05,0.000000000000000000e+00
0.000000000000000000e+00,5.999999999999999778e-01,1.800270541118036832e-02,1.289624302034370995e-04,2.855952744788393602e-02,4.214944185485480744e-05,0.000000000000000000e+00
0.000000000000000000e+00,6.666666666666666297e-01,1.806494039719892114e-02,1.263305994737356174e-04,2.861526757088712208e-02,4.306137481745298765e-05,0.000000000000000000e+00
0.000000000000000000e+00,7.333333333333332815e-01,1.811936684883765428e-02,1.212352917981010498e-04,2.865615358767623078e-02,4.279860226482314262e-05,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.816577403535825710e-02,1.120847635768059032e-04,2.867333896317466116e-02,4.554434503777332594e-05,0.000000000000000000e+00
0.000000000000000000e+00,8.666666666666666963e-01,1.819781452801820174e-02,9.911777213888223084e-05,2.866357396005162969e-02,5.851317106495096897e-05,0.000000000000000000e+00
0.000000000000000000e+00,9.333333333333333481e-01,1.830068129988125791e-02,1.863534901696986903e-04,2.869529634892032527e-02,1.073384736756345041e-04,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.675796076259897432e-02,1.076758504671861127e-02,3.737965839866251583e-02,1.033633009560958223e-02,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,9.937538103477387350e-03,1.881119823856960949e-04,1.119863282009011043e-02,1.779174654480896139e-04,0.000000000000000000e+00
1.000000000000000000e+00,6.666666666666666574e-02,9.873669579273446767e-03,1.818910673382627028e-04,1.112798338129376494e-02,1.702230015651727416e-04,0.000000000000000000e+00
1.000000000000000000e+00,1.333333333333333315e-01,9.728753179431578677e-03,1.565093524322660849e-04,1.096739044390087660e-02,1.393900401250592052e-04,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000111e-01,9.586002862430588467e-03,1.003156515445870179e-04,1.082614565104157364e-02,8.156779546736882779e-05,0.000000000000000000e+00
1.000000000000000000e+00,2.666666666666666630e-01,9.547693109787168397e-03,5.270797822522073860e-05,1.082830759634315944e-02,5.546489748410309706e-05,0.000000000000000000e+00
1.000000000000000000e+00,3.333333333333333148e-01,9.627003471459279899e-03,4.595854244049386541e-05,1.095644675487904632e-02,6.368579985175673813e-05,0.000000000000000000e+00
1.000000000000000000e+00,4.000000000000000222e-01,9.745545622890008225e-03,4.897365044985753634e-05,1.110591561951468006e-02,6.888917404283813556e-05,0.000000000000000000e+00
1.000000000000000000e+00,4.666666666666666741e-01,9.851033011046023830e-03,4.969189865212064966e-05,1.122570243718240025e-02,7.293616514504079802e-05,0.000000000000000000e+00
1.000000000000000000e+00,5.333333333333333259e-01,9.939136788949361895e-03,4.906074734640528898e-05,1.131939701640074375e-02,7.618481741826319150e-05,0.000000000000000000e+00
1.000000000000000000e+00,5.999999999999999778e-01,1.001673958410813879e-02,4.807775127719381727e-05,1.139775765450149955e-02,7.799994721428477377e-05,0.000000000000000000e+00
1.000000000000000000e+00,6.666666666666666297e-01,1.008697704400386350e-02,4.907320587424557139e-05,1.146764103540401022e-02,7.917629631635354998e-05,0.000000000000000000e+00
1.000000000000000000e+00,7.333333333333332815e-01,1.016141914560816928e-02,5.279783860348755126e-05,1.154280110325009781e-02,8.039294650670084162e-05,0.000000000000000000e+00
1.000000000000000000e+00,8.000000000000000444e-01,1.026207450813084246e-02,6.510108481728994984e-05,1.164530577404759154e-02,8.740624479317812877e-05,0.000000000000000000e+00
1.000000000000000000e+00,8.666666666666666963e-01,1.043533154076703093e-02,1.043924455764018785e-04,1.181810917376236759e-02,1.236161017734202885e-04,0.000000000000000000e+00
1.000000000000000000e+00,9.333333333333333481e-01,1.082357396502454071e-02,2.405153878899857396e-04,1.223662227542008860e-02,2.870723820256653120e-04,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.635002941566989484e-02,1.908413898278962101e-02,3.022042897417326346e-02,2.139808223658749148e-02,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.952401509256995737e-02,3.671617969119603210e-04,2.454152443309188386e-02,3.050568876784221428e-04,0.000000000000000000e+00
2.000000000000000000e+00,6.666666666666666574e-02,1.937751918992150491e-02,3.394133836602407817e-04,2.442306143137443555e-02,2.808976407079314297e-04,0.000000000000000000e+00
2.000000000000000000e+00,1.333333333333333315e-01,1.905967068400583886e-02,2.638323226343656526e-04,2.415479760417635000e-02,2.214101011633770556e-04,0.000000000000000000e+00
2.000000000000000000e+00,2.000000000000000111e-01,1.871389187985485203e-02,1.657410162927725622e-04,2.382077450521005724e-02,1.549521180428818960e-04,0.000000000000000000e+00
2.000000000000000000e+00,2.666666666666666630e-01,1.847744162896935993e-02,9.435191850492094393e-05,2.352442829877588598e-02,1.082482876007812277e-04,0.000000000000000000e+00
2.000000000000000000e+00,3.333333333333333148e-01,1.834232556367478700e-02,5.300280427217588848e-05,2.332278931644441583e-02,8.056479987826844808e-05,0.000000000000000000e+00
2.000000000000000000e+00,4.000000000000000222e-01,1.826104022302615232e-02,3.706231870048435685e-05,2.320018974440133178e-02,7.937367589526393870e-05,0.000000000000000000e+00
2.000000000000000000e+00,4.666666666666666741e-01,1.820528316383189862e-02,3.546020634905254634e-05,2.312110538965557113e-02,9.003507397756517722e-05,0.000000000000000000e+00
2.000000000000000000e+00,5.333333333333333259e-01,1.816469763179327096e-02,3.773049648473194765e-05,2.307526436991468380e-02,1.009556563465882970e-04,0.000000000000000000e+00
2.000000000000000000e+00,5.999999999999999778e-01,1.816510126539068112e-02,3.874137138511778887e-05,2.307615200378606429e-02,1.085450084437101798e-04,0.000000000000000000e+00
2.000000000000000000e+00,6.666666666666666297e-01,1.826575948743327377e-02,6.468181318905778451e-05,2.315434983101807842e-02,1.235095215769492732e-04,0.000000000000000000e+00
2.000000000000000000e+00,7.333333333333332815e-01,1.858078984532268371e-02,1.584472596443205390e-04,2.340352611645793793e-02,1.760201742259591385e-04,0.000000000000000000e+00
2.000000000000000000e+00,8.000000000000000444e-01,1.961957952079956130e-02,6.921248494307389795e-04,2.448584824561337789e-02,7.615145270547704062e-04,0.000000000000000000e+00
2.000000000000000000e+00,8.666666666666666963e-01,2.297285905634972869e-02,1.705493524167751287e-03,2.885349946551170677e-02,2.166718757396293889e-03,0.000000000000000000e+00
2.000000000000000000e+00,9.333333333333333481e-01,3.347983698508615741e-02,8.692656199846982706e-03,4.044134098983840492e-02,8.201387616407020131e-03,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,5.957753876281945971e-02,1.062750451854104286e-02,6.762829910045826953e-02,1.231042747335747180e-02,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,1.331521361985908702e-02,2.235148170202631455e-04,1.632041744229723382e-02,1.738430745024583161e-04,0.000000000000000000e+00
3.000000000000000000e+00,6.666666666666666574e-02,1.329217387421878158e-02,2.145914147608072209e-04,1.631429367488044374e-02,1.638823973011446886e-04,0.000000000000000000e+00
3.000000000000000000e+00,1.333333333333333315e-01,1.326198391446966295e-02,1.738850373037518365e-04,1.632290560336292773e-02,1.252860572536332101e-04,0.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000111e-01,1.330092274325781788e-02,9.376912670595084233e-05,1.641139443526522940e-02,6.469759940124816648e-05,0.000000000000000000e+00
3.000000000000000000e+00,2.666666666666666630e-01,1.351326352801237793e-02,5.769028986031992837e-05,1.665574638790430148e-02,5.814271570988064318e-05,0.000000000000000000e+00
3.000000000000000000e+00,3.333333333333333148e-01,1.386980848274760314e-02,7.128299964103456733e-05,1.702576540738478042e-02,7.600414508767547512e-05,0.000000000000000000e+00
3.000000000000000000e+00,4.000000000000000222e-01,1.424462340853281314e-02,7.531429090053401226e-05,1.741530764662261796e-02,8.301090980082417576e-05,0.000000000000000000e+00
3.000000000000000000e+00,4.666666666666666741e-01,1.462636903216422632e-02,8.427949326372219624e-05,1.782039728703043238e-02,9.413699341579501373e-05,0.000000000000000000e+00
3.000000000000000000e+00,5.333333333333333259e-01,1.504139092392932711e-02,9.854256064105000265e-05,1.826058640738702915e-02,1.085492048043266625e-04,0.000000000000000000e+00
3.000000000000000000e+00,5.999999999999999778e-01,1.550231806541049751e-02,1.166024605269815729e-04,1.874521720723985874e-02,1.265159536077622852e-04,0.000000000000000000e+00
3.000000000000000000e+00,6.666666666666666297e-01,1.603047542840283987e-02,1.432503525056503602e-04,1.928818546641873286e-02,1.460750307709590093e-04,0.000000000000000000e+00
3.000000000000000000e+00,7.333333333333332815e-01,1.670515978794146622e-02,2.080264289268220017e-04,1.994516337355227084e-02,1.933296894745173064e-04,0.000000000000000000e+00
3.000000000000000000e+00,8.000000000000000444e-01,1.767658452881439371e-02,3.771660329263880297e-04,2.088984124765231112e-02,3.785265865416205175e-04,0.000000000000000000e+00
3.000000000000000000e+00,8.666666666666666963e-01,1.956851782438005088e-02,1.168914538618026329e-03,2.282174339419046349e-02,1.270536209087788811e-03,0.000000000000000000e+00
3.000000000000000000e+00,9.333333333333333481e-01,2.406109017635625277e-02,2.526320171433560358e-03,2.778892544663200820e-02,2.992939006135726492e-03,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,4.062320710516804934e-02,1.018854711425030458e-02,4.567254205806882406e-02,1.073066126595983646e-02,0.000000000000000000e+00
