,0.05,0.061,0.073,0.084,0.095,0.107,0.118,0.129,0.141,0.152,0.163,0.175,0.186,0.197,0.209,0.22
0.0,0.1553 \pm 0.033,0.1601 \pm 0.0352,0.1308 \pm 0.0337,0.1073 \pm 0.0315,0.0906 \pm 0.029,0.0786 \pm 0.0264,0.0695 \pm 0.0238,0.0623 \pm 0.0212,0.0568 \pm 0.0192,0.0517 \pm 0.0168,0.0474 \pm 0.0146,0.0436 \pm 0.0126,0.0404 \pm 0.0109,0.0375 \pm 0.0094,0.035 \pm 0.0082,0.0327 \pm 0.0071
1.0,0.1517 \pm 0.0332,0.1564 \pm 0.0365,0.1277 \pm 0.0345,0.1046 \pm 0.032,0.0884 \pm 0.0294,0.0767 \pm 0.0268,0.0679 \pm 0.0242,0.0608 \pm 0.0217,0.0551 \pm 0.019,0.0502 \pm 0.0166,0.046 \pm 0.0145,0.0424 \pm 0.0126,0.0392 \pm 0.011,0.0364 \pm 0.0096,0.034 \pm 0.0084,0.0318 \pm 0.0074
2.0,0.1576 \pm 0.0333,0.1621 \pm 0.0361,0.1323 \pm 0.0343,0.1083 \pm 0.0319,0.0915 \pm 0.0293,0.0793 \pm 0.0266,0.0701 \pm 0.0239,0.0628 \pm 0.0212,0.056 \pm 0.0187,0.051 \pm 0.0164,0.0468 \pm 0.0142,0.0431 \pm 0.0123,0.0399 \pm 0.0107,0.0371 \pm 0.0093,0.0346 \pm 0.0081,0.0324 \pm 0.0072
3.0,0.1556 \pm 0.0347,0.1601 \pm 0.0374,0.1307 \pm 0.0355,0.107 \pm 0.0329,0.0904 \pm 0.0302,0.0784 \pm 0.0274,0.0693 \pm 0.0245,0.0621 \pm 0.0217,0.056 \pm 0.0179,0.0511 \pm 0.0156,0.0469 \pm 0.0134,0.0432 \pm 0.0116,0.04 \pm 0.0099,0.0372 \pm 0.0085,0.0347 \pm 0.0074,0.0325 \pm 0.0064
4.0,0.1568 \pm 0.0343,0.1568 \pm 0.0336,0.1321 \pm 0.0353,0.1057 \pm 0.0291,0.091 \pm 0.0295,0.078 \pm 0.0241,0.0693 \pm 0.0216,0.0631 \pm 0.0212,0.0567 \pm 0.0169,0.0524 \pm 0.0162,0.0478 \pm 0.0129,0.0446 \pm 0.0121,0.041 \pm 0.0115,0.0386 \pm 0.009,0.0361 \pm 0.0078,0.0336 \pm 0.0077
5.0,0.1558 \pm 0.034,0.1588 \pm 0.0355,0.1309 \pm 0.0354,0.1058 \pm 0.0316,0.0888 \pm 0.0284,0.0772 \pm 0.0265,0.0682 \pm 0.0238,0.0608 \pm 0.0208,0.0555 \pm 0.0186,0.051 \pm 0.0167,0.0463 \pm 0.0141,0.043 \pm 0.0125,0.0401 \pm 0.0107,0.0369 \pm 0.0094,0.0344 \pm 0.0082,0.0325 \pm 0.007
6.0,0.1547 \pm 0.037,0.1612 \pm 0.0363,0.1295 \pm 0.0353,0.1079 \pm 0.032,0.0922 \pm 0.0305,0.0789 \pm 0.0267,0.0697 \pm 0.024,0.0635 \pm 0.0222,0.0572 \pm 0.0196,0.0511 \pm 0.0169,0.0478 \pm 0.0148,0.0431 \pm 0.0128,0.0397 \pm 0.0112,0.037 \pm 0.0097,0.0345 \pm 0.0084,0.0322 \pm 0.0078
7.0,0.1574 \pm 0.0329,0.1608 \pm 0.0369,0.1314 \pm 0.0338,0.1071 \pm 0.0319,0.0895 \pm 0.0292,0.0782 \pm 0.0266,0.0691 \pm 0.0239,0.0613 \pm 0.0216,0.0554 \pm 0.0187,0.0508 \pm 0.0166,0.0463 \pm 0.0142,0.0428 \pm 0.0124,0.04 \pm 0.0117,0.0368 \pm 0.0093,0.0343 \pm 0.008,0.0326 \pm 0.0077
8.0,0.1567 \pm 0.0341,0.1592 \pm 0.0349,0.1312 \pm 0.0344,0.1063 \pm 0.0306,0.0903 \pm 0.0287,0.0777 \pm 0.0255,0.0687 \pm 0.023,0.0618 \pm 0.021,0.0554 \pm 0.0183,0.0513 \pm 0.0161,0.0464 \pm 0.0137,0.0433 \pm 0.012,0.0395 \pm 0.0097,0.0372 \pm 0.0089,0.0347 \pm 0.0077,0.0322 \pm 0.0063
9.0,0.1549 \pm 0.033,0.1577 \pm 0.0361,0.1297 \pm 0.0336,0.1054 \pm 0.0315,0.0888 \pm 0.0285,0.0771 \pm 0.026,0.0682 \pm 0.0233,0.0611 \pm 0.0206,0.0557 \pm 0.0186,0.0511 \pm 0.0162,0.0464 \pm 0.0141,0.043 \pm 0.0121,0.0401 \pm 0.0107,0.037 \pm 0.0091,0.0345 \pm 0.008,0.0324 \pm 0.0071
