idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error
0.000000000000000000e+00,5.000000000000000278e-02,1.553305221213021614e-01,3.298959129100582921e-02,1.686562748362070985e-01,3.523922226597013541e-02
0.000000000000000000e+00,6.133333333333333692e-02,1.601072807457639413e-01,3.524742357554076777e-02,1.738318480500377627e-01,3.767856017836652971e-02
0.000000000000000000e+00,7.266666666666667107e-02,1.308268304140688121e-01,3.374753276890871817e-02,1.426002865343880266e-01,3.607083266831005025e-02
0.000000000000000000e+00,8.399999999999999134e-02,1.072599054857845957e-01,3.151063315863617681e-02,1.174168152248046132e-01,3.377797326050573090e-02
0.000000000000000000e+00,9.533333333333332549e-02,9.064112914826497058e-02,2.903782018281977906e-02,9.960380304589659672e-02,3.124145347777886744e-02
0.000000000000000000e+00,1.066666666666666596e-01,7.862968012969334675e-02,2.643918494633749200e-02,8.669628925591008062e-02,2.854213039310375677e-02
0.000000000000000000e+00,1.179999999999999938e-01,6.951520084202940375e-02,2.378412743042298411e-02,7.688381026969812182e-02,2.575128682001949151e-02
0.000000000000000000e+00,1.293333333333333279e-01,6.227832023457341437e-02,2.115009391640507858e-02,6.908267438928672455e-02,2.295803036354588864e-02
0.000000000000000000e+00,1.406666666666666621e-01,5.680450213213129179e-02,1.922225091316428353e-02,6.318004937843173241e-02,2.070591264098669074e-02
0.000000000000000000e+00,1.519999999999999962e-01,5.172774624704076785e-02,1.678580827967572284e-02,5.771467693579997865e-02,1.810176682255354441e-02
0.000000000000000000e+00,1.633333333333333304e-01,4.738119152420431496e-02,1.457159330630037469e-02,5.303365301327258446e-02,1.572527662941129722e-02
0.000000000000000000e+00,1.746666666666666645e-01,4.362276561069635544e-02,1.260336773991071503e-02,4.898436404798947597e-02,1.360577084848016600e-02
0.000000000000000000e+00,1.859999999999999987e-01,4.035054292560670552e-02,1.088608733601914742e-02,4.545844307526202693e-02,1.175183630977347064e-02
0.000000000000000000e+00,1.973333333333333051e-01,3.748657999080669267e-02,9.410809460857391326e-03,4.237364436723529970e-02,1.015686447408058364e-02
0.000000000000000000e+00,2.086666666666666670e-01,3.496861335187200631e-02,8.160352662496147408e-03,3.966449092773564195e-02,8.804647148937501736e-03
0.000000000000000000e+00,2.200000000000000011e-01,3.274550948819588553e-02,7.113469882072556358e-03,3.727728636134154672e-02,7.673797798629891816e-03
1.000000000000000000e+00,5.000000000000000278e-02,1.517499303482665318e-01,3.318582017538228290e-02,1.650613218505262159e-01,3.568531445546201802e-02
1.000000000000000000e+00,6.133333333333333692e-02,1.563617946509032464e-01,3.647084650697812735e-02,1.701590715005372179e-01,3.938811902680243449e-02
1.000000000000000000e+00,7.266666666666667107e-02,1.276877491814528698e-01,3.446915611562596793e-02,1.395907753604936075e-01,3.722858359496057645e-02
1.000000000000000000e+00,8.399999999999999134e-02,1.046466514395313768e-01,3.198942460291989004e-02,1.149769411909616901e-01,3.465696446837143035e-02
1.000000000000000000e+00,9.533333333333332549e-02,8.842660323433348957e-02,2.944097945065770466e-02,9.757953135489602636e-02,3.202428082046865354e-02
1.000000000000000000e+00,1.066666666666666596e-01,7.672738878153996522e-02,2.684606292334656627e-02,8.498583846382373741e-02,2.931218078555618625e-02
1.000000000000000000e+00,1.179999999999999938e-01,6.786777502112437133e-02,2.423930262684287698e-02,7.542057487317750664e-02,2.655459106221771948e-02
