,0.05,0.061,0.073,0.084,0.095,0.107,0.118,0.129,0.141,0.152,0.163,0.175,0.186,0.197,0.209,0.22
0.0,0.0023 \pm 0.0004,0.0023 \pm 0.0004,0.0023 \pm 0.0004,0.0023 \pm 0.0004,0.0023 \pm 0.0004,0.0023 \pm 0.0004,0.0023 \pm 0.0004,0.0023 \pm 0.0004,0.0023 \pm 0.0004,0.0023 \pm 0.0004,0.0023 \pm 0.0004,0.0023 \pm 0.0004,0.0023 \pm 0.0004,0.0023 \pm 0.0004,0.0023 \pm 0.0004,0.0023 \pm 0.0004
1.0,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003
2.0,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001
3.0,0.0031 \pm 0.0001,0.0031 \pm 0.0001,0.0031 \pm 0.0001,0.0031 \pm 0.0001,0.0031 \pm 0.0001,0.0031 \pm 0.0001,0.0031 \pm 0.0001,0.0031 \pm 0.0001,0.0031 \pm 0.0001,0.0031 \pm 0.0001,0.0031 \pm 0.0001,0.0031 \pm 0.0001,0.0031 \pm 0.0001,0.0031 \pm 0.0001,0.0031 \pm 0.0001,0.0031 \pm 0.0001
4.0,0.0065 \pm 0.0007,0.0065 \pm 0.0007,0.0065 \pm 0.0007,0.0065 \pm 0.0007,0.0065 \pm 0.0007,0.0065 \pm 0.0007,0.0065 \pm 0.0007,0.0065 \pm 0.0007,0.0066 \pm 0.0007,0.0066 \pm 0.0007,0.0066 \pm 0.0007,0.0066 \pm 0.0007,0.0066 \pm 0.0007,0.0066 \pm 0.0007,0.0066 \pm 0.0007,0.0066 \pm 0.0007
5.0,0.0007 \pm 0.0001,0.0007 \pm 0.0001,0.0007 \pm 0.0001,0.0007 \pm 0.0001,0.0007 \pm 0.0001,0.0007 \pm 0.0001,0.0007 \pm 0.0001,0.0007 \pm 0.0001,0.0007 \pm 0.0001,0.0007 \pm 0.0001,0.0007 \pm 0.0001,0.0007 \pm 0.0001,0.0007 \pm 0.0001,0.0007 \pm 0.0001,0.0007 \pm 0.0001,0.0007 \pm 0.0001
6.0,0.0017 \pm 0.0003,0.0017 \pm 0.0003,0.0017 \pm 0.0003,0.0017 \pm 0.0003,0.0017 \pm 0.0003,0.0017 \pm 0.0003,0.0017 \pm 0.0003,0.0017 \pm 0.0003,0.0017 \pm 0.0003,0.0017 \pm 0.0003,0.0017 \pm 0.0003,0.0017 \pm 0.0003,0.0017 \pm 0.0003,0.0017 \pm 0.0003,0.0017 \pm 0.0003,0.0017 \pm 0.0003
7.0,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003,0.0022 \pm 0.0003
8.0,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002
9.0,0.0016 \pm 0.0001,0.0016 \pm 0.0001,0.0016 \pm 0.0001,0.0016 \pm 0.0001,0.0016 \pm 0.0001,0.0016 \pm 0.0001,0.0016 \pm 0.0001,0.0016 \pm 0.0001,0.0016 \pm 0.0001,0.0016 \pm 0.0001,0.0016 \pm 0.0001,0.0016 \pm 0.0001,0.0016 \pm 0.0001,0.0016 \pm 0.0001,0.0016 \pm 0.0001,0.0016 \pm 0.0001
