idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error
0.000000000000000000e+00,5.000000000000000278e-02,2.250334967921911559e-03,4.042202551468583420e-04,9.367200453255949272e-03,2.638719115209759575e-03
0.000000000000000000e+00,6.133333333333333692e-02,2.250267483846148282e-03,4.042215381066679124e-04,9.367196208702265048e-03,2.638719525930763657e-03
0.000000000000000000e+00,7.266666666666667107e-02,2.250301677939828097e-03,4.042236798882468257e-04,9.367232061897223100e-03,2.638733049007233478e-03
0.000000000000000000e+00,8.399999999999999134e-02,2.250359527168709680e-03,4.042268821920122468e-04,9.367287241741599144e-03,2.638753231889666515e-03
0.000000000000000000e+00,9.533333333333332549e-02,2.250430394619569105e-03,4.042310395877444455e-04,9.367357692792142865e-03,2.638778567310685885e-03
0.000000000000000000e+00,1.066666666666666596e-01,2.250510849719990387e-03,4.042360910627365990e-04,9.367441765534948589e-03,2.638808409999707661e-03
0.000000000000000000e+00,1.179999999999999938e-01,2.250600029148387866e-03,4.042420413189667721e-04,9.367539322457379622e-03,2.638842668338347956e-03
0.000000000000000000e+00,1.293333333333333279e-01,2.250698414065789230e-03,4.042489563819305826e-04,9.367651375374760198e-03,2.638881660721818876e-03
0.000000000000000000e+00,1.406666666666666621e-01,2.250807242354824645e-03,4.042569482295613583e-04,9.367779734711145778e-03,2.638925983924711536e-03
0.000000000000000000e+00,1.519999999999999962e-01,2.250928157007516060e-03,4.042661578808474151e-04,9.367926701967791564e-03,2.638976402160966329e-03
0.000000000000000000e+00,1.633333333333333304e-01,2.251062984366822284e-03,4.042767410393953908e-04,9.368094831919387966e-03,2.639033762920528665e-03
0.000000000000000000e+00,1.746666666666666645e-01,2.251213594588481054e-03,4.042888572751460424e-04,9.368286763238808934e-03,2.639098937605833996e-03
0.000000000000000000e+00,1.859999999999999987e-01,2.251381816003638139e-03,4.043026624205453838e-04,9.368505104484064691e-03,2.639172781875086769e-03
0.000000000000000000e+00,1.973333333333333051e-01,2.251569384928811188e-03,4.043183035054691028e-04,9.368752360992133044e-03,2.639256110511132777e-03
0.000000000000000000e+00,2.086666666666666670e-01,2.251777918599916564e-03,4.043359155887678584e-04,9.369030890660851041e-03,2.639349682590593892e-03
0.000000000000000000e+00,2.200000000000000011e-01,2.252008902939243128e-03,4.043556199924421652e-04,9.369342879669430302e-03,2.639454193802164266e-03
1.000000000000000000e+00,5.000000000000000278e-02,2.205881249600799045e-03,3.185619499881073052e-04,8.430288008863010343e-03,2.364559592959619792e-03
1.000000000000000000e+00,6.133333333333333692e-02,2.205881664215723469e-03,3.185628104077655159e-04,8.430290256421255762e-03,2.364558177907334809e-03
1.000000000000000000e+00,7.266666666666667107e-02,2.205880776900800110e-03,3.185648154078782844e-04,8.430323847170550708e-03,2.364570358454177665e-03
