,0.046,0.058,0.069,0.081,0.092,0.104,0.116,0.127,0.139,0.15,0.162,0.174,0.185,0.197,0.208,0.22
0.0,0.1124 \pm 0.0333,0.134 \pm 0.0363,0.1411 \pm 0.0319,0.134 \pm 0.0256,0.1192 \pm 0.0221,0.1026 \pm 0.0201,0.0874 \pm 0.0179,0.0748 \pm 0.0154,0.0648 \pm 0.0131,0.0569 \pm 0.0112,0.0507 \pm 0.0097,0.0457 \pm 0.0084,0.0417 \pm 0.0075,0.0384 \pm 0.0067,0.0356 \pm 0.0061,0.0332 \pm 0.0055
1.0,0.1115 \pm 0.0308,0.1331 \pm 0.0338,0.1401 \pm 0.0299,0.133 \pm 0.0247,0.1183 \pm 0.0222,0.1017 \pm 0.0207,0.0867 \pm 0.0185,0.0742 \pm 0.0159,0.0631 \pm 0.0144,0.0553 \pm 0.0122,0.0492 \pm 0.0104,0.0443 \pm 0.009,0.0404 \pm 0.0079,0.0371 \pm 0.007,0.0344 \pm 0.0063,0.0321 \pm 0.0057
2.0,0.1101 \pm 0.031,0.1316 \pm 0.0341,0.1386 \pm 0.0304,0.1315 \pm 0.0255,0.1168 \pm 0.0234,0.1003 \pm 0.0219,0.0854 \pm 0.0197,0.073 \pm 0.0171,0.0638 \pm 0.0137,0.0559 \pm 0.0117,0.0497 \pm 0.01,0.0447 \pm 0.0087,0.0407 \pm 0.0077,0.0374 \pm 0.0069,0.0346 \pm 0.0062,0.0323 \pm 0.0057
3.0,0.1077 \pm 0.0297,0.1287 \pm 0.0323,0.1354 \pm 0.0282,0.1285 \pm 0.0232,0.1142 \pm 0.0212,0.0983 \pm 0.02,0.0837 \pm 0.018,0.0716 \pm 0.0156,0.0628 \pm 0.0132,0.0551 \pm 0.0112,0.049 \pm 0.0096,0.0442 \pm 0.0084,0.0402 \pm 0.0074,0.037 \pm 0.0066,0.0343 \pm 0.0059,0.032 \pm 0.0054
4.0,0.1066 \pm 0.0318,0.1315 \pm 0.037,0.1338 \pm 0.0295,0.1302 \pm 0.0271,0.113 \pm 0.0208,0.0981 \pm 0.0214,0.0854 \pm 0.0203,0.0725 \pm 0.019,0.0641 \pm 0.0132,0.0544 \pm 0.01,0.0508 \pm 0.0109,0.044 \pm 0.0103,0.0415 \pm 0.0086,0.0378 \pm 0.0073,0.035 \pm 0.0073,0.0327 \pm 0.0066
5.0,0.111 \pm 0.029,0.1328 \pm 0.0313,0.1393 \pm 0.0286,0.1323 \pm 0.0226,0.1179 \pm 0.021,0.1003 \pm 0.0209,0.0867 \pm 0.0191,0.0731 \pm 0.0164,0.0624 \pm 0.0141,0.0544 \pm 0.0113,0.0487 \pm 0.0099,0.0436 \pm 0.0088,0.0397 \pm 0.0077,0.0369 \pm 0.0072,0.0338 \pm 0.0063,0.0318 \pm 0.006
6.0,0.1108 \pm 0.0306,0.1314 \pm 0.0325,0.1392 \pm 0.0288,0.1323 \pm 0.024,0.1178 \pm 0.0225,0.1001 \pm 0.0222,0.0856 \pm 0.0181,0.0733 \pm 0.0177,0.0624 \pm 0.0129,0.0552 \pm 0.0121,0.0487 \pm 0.0094,0.0439 \pm 0.0082,0.04 \pm 0.0073,0.0375 \pm 0.0071,0.0344 \pm 0.0063,0.0324 \pm 0.0062
7.0,0.1097 \pm 0.033,0.1313 \pm 0.0343,0.1376 \pm 0.0318,0.1305 \pm 0.0259,0.1159 \pm 0.0226,0.1001 \pm 0.0193,0.0842 \pm 0.0182,0.0728 \pm 0.0158,0.063 \pm 0.0139,0.0552 \pm 0.0105,0.049 \pm 0.0104,0.044 \pm 0.0087,0.0401 \pm 0.0077,0.0366 \pm 0.0072,0.0342 \pm 0.0058,0.0316 \pm 0.0052
8.0,0.1097 \pm 0.0305,0.1316 \pm 0.0347,0.1378 \pm 0.0307,0.1324 \pm 0.0256,0.1167 \pm 0.023,0.1003 \pm 0.0207,0.086 \pm 0.0196,0.0726 \pm 0.0159,0.0631 \pm 0.0134,0.0553 \pm 0.011,0.0492 \pm 0.0095,0.0441 \pm 0.0087,0.0403 \pm 0.0073,0.0372 \pm 0.0067,0.0339 \pm 0.0059,0.032 \pm 0.0054
9.0,0.1101 \pm 0.0323,0.1309 \pm 0.0344,0.1378 \pm 0.0308,0.1313 \pm 0.0269,0.1157 \pm 0.0234,0.0997 \pm 0.0223,0.0852 \pm 0.0206,0.0741 \pm 0.0181,0.0627 \pm 0.0138,0.0554 \pm 0.012,0.0492 \pm 0.0104,0.0442 \pm 0.0089,0.0405 \pm 0.0083,0.0371 \pm 0.0073,0.0344 \pm 0.0068,0.0313 \pm 0.0055
10.0,0.1105 \pm 0.0312,0.1319 \pm 0.0349,0.1386 \pm 0.0309,0.1317 \pm 0.0257,0.1161 \pm 0.0209,0.0997 \pm 0.0213,0.0841 \pm 0.0196,0.072 \pm 0.0153,0.0626 \pm 0.0133,0.0548 \pm 0.0114,0.0487 \pm 0.0098,0.0438 \pm 0.0084,0.0401 \pm 0.0075,0.0369 \pm 0.0066,0.0346 \pm 0.0066,0.0323 \pm 0.0054
11.0,0.1092 \pm 0.0299,0.1303 \pm 0.0344,0.1371 \pm 0.0304,0.13 \pm 0.0252,0.1157 \pm 0.0215,0.0999 \pm 0.0202,0.0853 \pm 0.0215,0.0725 \pm 0.0164,0.0629 \pm 0.0143,0.0554 \pm 0.0117,0.0493 \pm 0.0101,0.0444 \pm 0.0088,0.0402 \pm 0.0079,0.0375 \pm 0.0074,0.0343 \pm 0.0057,0.0322 \pm 0.0058
12.0,0.111 \pm 0.0308,0.1322 \pm 0.0346,0.139 \pm 0.0306,0.1319 \pm 0.0255,0.1173 \pm 0.0243,0.0999 \pm 0.0208,0.0855 \pm 0.0179,0.0727 \pm 0.0166,0.063 \pm 0.0138,0.0553 \pm 0.0119,0.0492 \pm 0.0103,0.0443 \pm 0.009,0.0404 \pm 0.0077,0.0376 \pm 0.008,0.0347 \pm 0.0064,0.0325 \pm 0.0062
13.0,0.1093 \pm 0.0347,0.1303 \pm 0.0344,0.1371 \pm 0.0303,0.1301 \pm 0.0248,0.1124 \pm 0.0224,0.0976 \pm 0.0213,0.0839 \pm 0.019,0.0735 \pm 0.0159,0.0629 \pm 0.0136,0.0543 \pm 0.0112,0.0484 \pm 0.0097,0.0437 \pm 0.0084,0.0409 \pm 0.0084,0.0378 \pm 0.0067,0.0339 \pm 0.0063,0.0319 \pm 0.0063
