idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error
0.000000000000000000e+00,0.000000000000000000e+00,1.123697739960961978e-01,3.326624159631704630e-02,1.228958480140015797e-01,3.581684360560322133e-02
0.000000000000000000e+00,6.666666666666666574e-02,1.340496302607246115e-01,3.626200704759521137e-02,1.461269376883694848e-01,3.900496343602765509e-02
0.000000000000000000e+00,1.333333333333333315e-01,1.411028494424151902e-01,3.190406079810406692e-02,1.536613724779559154e-01,3.440743673295664634e-02
0.000000000000000000e+00,2.000000000000000111e-01,1.339978951171601484e-01,2.560313912720493801e-02,1.460458607739300585e-01,2.771191720273361372e-02
0.000000000000000000e+00,2.666666666666666630e-01,1.191697584913473940e-01,2.211231240027183159e-02,1.301420043729263065e-01,2.390209517655855764e-02
0.000000000000000000e+00,3.333333333333333148e-01,1.025686872066396138e-01,2.010261077691473386e-02,1.122927597319122728e-01,2.165067134185822209e-02
0.000000000000000000e+00,4.000000000000000222e-01,8.742463459581995000e-02,1.787187781362033906e-02,9.596644357507387590e-02,1.921668724942730833e-02
0.000000000000000000e+00,4.666666666666666741e-01,7.483947051445989651e-02,1.542155401847316622e-02,8.236569287002674933e-02,1.659199496439322380e-02
0.000000000000000000e+00,5.333333333333333259e-01,6.479558155714763845e-02,1.314647750408337069e-02,7.159497517393498267e-02,1.449144640544744629e-02
0.000000000000000000e+00,5.999999999999999778e-01,5.692557892640139061e-02,1.121127535576265689e-02,6.307705282105820210e-02,1.241653681326121070e-02
0.000000000000000000e+00,6.666666666666666297e-01,5.070476971588258608e-02,9.656181093828828180e-03,5.633405902334693433e-02,1.074077670561728037e-02
0.000000000000000000e+00,7.333333333333332815e-01,4.573146825929545745e-02,8.427066943402001034e-03,5.093930431099271544e-02,9.408804088167939741e-03
0.000000000000000000e+00,8.000000000000000444e-01,4.169728443375313870e-02,7.455291778252522497e-03,4.656325964151514923e-02,8.349486521505940576e-03
