,0.046,0.058,0.069,0.081,0.092,0.104,0.116,0.127,0.139,0.15,0.162,0.174,0.185,0.197,0.208,0.22
0.0,0.1124 \pm 0.0333,0.134 \pm 0.0363,0.1411 \pm 0.0319,0.134 \pm 0.0256,0.1192 \pm 0.0221,0.1026 \pm 0.0201,0.0874 \pm 0.0179,0.0748 \pm 0.0154,0.0648 \pm 0.0131,0.0569 \pm 0.0112,0.0507 \pm 0.0097,0.0457 \pm 0.0084,0.0417 \pm 0.0075,0.0384 \pm 0.0067,0.0356 \pm 0.0061,0.0332 \pm 0.0055
1.0,0.1115 \pm 0.0308,0.1331 \pm 0.0338,0.1401 \pm 0.0299,0.133 \pm 0.0247,0.1183 \pm 0.0222,0.1017 \pm 0.0207,0.0867 \pm 0.0185,0.0742 \pm 0.0159,0.0631 \pm 0.0144,0.0553 \pm 0.0122,0.0492 \pm 0.0104,0.0443 \pm 0.009,0.0404 \pm 0.0079,0.0371 \pm 0.007,0.0344 \pm 0.0063,0.0321 \pm 0.0057
2.0,0.1101 \pm 0.031,0.1316 \pm 0.0341,0.1386 \pm 0.0304,0.1314 \pm 0.0255,0.1168 \pm 0.0234,0.1003 \pm 0.0219,0.0855 \pm 0.0197,0.0729 \pm 0.017,0.0638 \pm 0.0138,0.0559 \pm 0.0117,0.0497 \pm 0.01,0.0447 \pm 0.0087,0.0406 \pm 0.0078,0.0374 \pm 0.0069,0.0346 \pm 0.0062,0.0322 \pm 0.0057
3.0,0.1088 \pm 0.0296,0.1295 \pm 0.032,0.1358 \pm 0.0275,0.1296 \pm 0.0262,0.1144 \pm 0.0217,0.0998 \pm 0.0205,0.0848 \pm 0.0182,0.0726 \pm 0.0154,0.0621 \pm 0.0132,0.0547 \pm 0.0113,0.049 \pm 0.0097,0.044 \pm 0.0085,0.0401 \pm 0.0076,0.0363 \pm 0.0066,0.0338 \pm 0.0058,0.0318 \pm 0.0056
4.0,0.1056 \pm 0.0295,0.1269 \pm 0.032,0.1373 \pm 0.0259,0.1287 \pm 0.0258,0.1166 \pm 0.0211,0.1003 \pm 0.0234,0.0837 \pm 0.0177,0.0727 \pm 0.0157,0.0641 \pm 0.0158,0.0577 \pm 0.0111,0.0493 \pm 0.0116,0.0438 \pm 0.0098,0.0411 \pm 0.0077,0.0377 \pm 0.0079,0.0349 \pm 0.0072,0.0328 \pm 0.006
5.0,0.1105 \pm 0.03,0.1317 \pm 0.0331,0.1379 \pm 0.0295,0.1309 \pm 0.0247,0.1179 \pm 0.0236,0.1003 \pm 0.022,0.0845 \pm 0.0183,0.0721 \pm 0.0168,0.0623 \pm 0.0125,0.0556 \pm 0.0122,0.0491 \pm 0.0103,0.0441 \pm 0.0085,0.0403 \pm 0.0081,0.0377 \pm 0.0076,0.0345 \pm 0.0067,0.032 \pm 0.0051
6.0,0.1103 \pm 0.0312,0.1316 \pm 0.0347,0.1396 \pm 0.0295,0.1324 \pm 0.0257,0.1158 \pm 0.0221,0.0996 \pm 0.0213,0.086 \pm 0.0166,0.0728 \pm 0.0175,0.0628 \pm 0.0132,0.056 \pm 0.0129,0.0484 \pm 0.0097,0.0445 \pm 0.01,0.0402 \pm 0.0075,0.0378 \pm 0.0074,0.0346 \pm 0.0069,0.0323 \pm 0.0055
7.0,0.1104 \pm 0.0332,0.1318 \pm 0.0344,0.1363 \pm 0.0297,0.1309 \pm 0.0263,0.1163 \pm 0.0239,0.1006 \pm 0.0199,0.0843 \pm 0.0184,0.0732 \pm 0.0155,0.0623 \pm 0.0138,0.0558 \pm 0.0117,0.0492 \pm 0.0107,0.0448 \pm 0.0084,0.0399 \pm 0.0078,0.0366 \pm 0.0067,0.0335 \pm 0.0058,0.0315 \pm 0.0064
8.0,0.1086 \pm 0.0302,0.1295 \pm 0.0342,0.1386 \pm 0.0313,0.1312 \pm 0.0256,0.1164 \pm 0.0211,0.1003 \pm 0.0201,0.0857 \pm 0.0177,0.0732 \pm 0.0159,0.064 \pm 0.0133,0.0554 \pm 0.0111,0.0494 \pm 0.0097,0.0438 \pm 0.008,0.0404 \pm 0.0076,0.0367 \pm 0.0065,0.0342 \pm 0.0067,0.0315 \pm 0.0056
9.0,0.1105 \pm 0.0319,0.1318 \pm 0.035,0.1371 \pm 0.0294,0.1313 \pm 0.0245,0.1174 \pm 0.024,0.1 \pm 0.0226,0.0861 \pm 0.0207,0.0715 \pm 0.0153,0.0622 \pm 0.0132,0.0549 \pm 0.0117,0.0488 \pm 0.01,0.0442 \pm 0.0087,0.0398 \pm 0.0076,0.0373 \pm 0.0074,0.0343 \pm 0.0067,0.0315 \pm 0.0055
10.0,0.1104 \pm 0.0318,0.1303 \pm 0.0332,0.1384 \pm 0.0318,0.1324 \pm 0.0257,0.1158 \pm 0.0227,0.1003 \pm 0.0205,0.0846 \pm 0.0196,0.0732 \pm 0.0169,0.0627 \pm 0.0145,0.0556 \pm 0.0119,0.0489 \pm 0.0101,0.0445 \pm 0.0083,0.0402 \pm 0.0078,0.0368 \pm 0.0065,0.0344 \pm 0.0063,0.032 \pm 0.0055
11.0,0.1103 \pm 0.0315,0.1304 \pm 0.0333,0.1398 \pm 0.0298,0.1303 \pm 0.0227,0.1167 \pm 0.023,0.0988 \pm 0.0188,0.0857 \pm 0.0187,0.0726 \pm 0.016,0.0634 \pm 0.0144,0.0549 \pm 0.0107,0.0487 \pm 0.0095,0.0438 \pm 0.0081,0.0405 \pm 0.0077,0.0366 \pm 0.0066,0.0337 \pm 0.006,0.0326 \pm 0.0057
12.0,0.1109 \pm 0.0318,0.1343 \pm 0.0335,0.1382 \pm 0.0283,0.133 \pm 0.0282,0.1171 \pm 0.0209,0.0998 \pm 0.0213,0.0848 \pm 0.019,0.0734 \pm 0.0167,0.0626 \pm 0.0141,0.0553 \pm 0.0114,0.05 \pm 0.0092,0.0442 \pm 0.0091,0.0401 \pm 0.0072,0.0375 \pm 0.0066,0.0351 \pm 0.006,0.0326 \pm 0.0062
13.0,0.1081 \pm 0.029,0.1325 \pm 0.0344,0.1397 \pm 0.0287,0.131 \pm 0.0253,0.114 \pm 0.0211,0.0987 \pm 0.0186,0.0834 \pm 0.016,0.0724 \pm 0.0156,0.0612 \pm 0.0142,0.0546 \pm 0.0096,0.0479 \pm 0.0099,0.0438 \pm 0.0091,0.0399 \pm 0.0082,0.036 \pm 0.0064,0.0346 \pm 0.006,0.032 \pm 0.0057
