,0.046,0.058,0.069,0.081,0.092,0.104,0.116,0.127,0.139,0.15,0.162,0.174,0.185,0.197,0.208,0.22
0.0,0.0025 \pm 0.0005,0.0025 \pm 0.0005,0.0025 \pm 0.0005,0.0025 \pm 0.0005,0.0025 \pm 0.0005,0.0025 \pm 0.0005,0.0025 \pm 0.0005,0.0025 \pm 0.0005,0.0025 \pm 0.0005,0.0025 \pm 0.0005,0.0025 \pm 0.0005,0.0025 \pm 0.0005,0.0025 \pm 0.0005,0.0025 \pm 0.0005,0.0025 \pm 0.0005,0.0025 \pm 0.0005
1.0,0.0024 \pm 0.0004,0.0024 \pm 0.0004,0.0024 \pm 0.0004,0.0024 \pm 0.0004,0.0024 \pm 0.0004,0.0024 \pm 0.0004,0.0024 \pm 0.0004,0.0024 \pm 0.0004,0.0024 \pm 0.0004,0.0024 \pm 0.0004,0.0024 \pm 0.0004,0.0024 \pm 0.0004,0.0024 \pm 0.0004,0.0024 \pm 0.0004,0.0024 \pm 0.0004,0.0024 \pm 0.0004
2.0,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001,0.001 \pm 0.0001
3.0,0.0032 \pm 0.0002,0.0032 \pm 0.0002,0.0032 \pm 0.0002,0.0032 \pm 0.0002,0.0032 \pm 0.0002,0.0032 \pm 0.0002,0.0032 \pm 0.0002,0.0032 \pm 0.0002,0.0032 \pm 0.0002,0.0032 \pm 0.0002,0.0032 \pm 0.0002,0.0032 \pm 0.0002,0.0032 \pm 0.0002,0.0032 \pm 0.0002,0.0032 \pm 0.0002,0.0032 \pm 0.0002
4.0,0.0069 \pm 0.0008,0.0069 \pm 0.0008,0.0069 \pm 0.0008,0.0069 \pm 0.0008,0.0069 \pm 0.0008,0.0069 \pm 0.0008,0.0069 \pm 0.0008,0.0069 \pm 0.0008,0.0069 \pm 0.0008,0.0069 \pm 0.0008,0.0069 \pm 0.0008,0.0069 \pm 0.0008,0.0069 \pm 0.0008,0.0069 \pm 0.0008,0.0069 \pm 0.0008,0.0069 \pm 0.0008
5.0,0.0008 \pm 0.0002,0.0008 \pm 0.0002,0.0008 \pm 0.0002,0.0008 \pm 0.0002,0.0008 \pm 0.0002,0.0008 \pm 0.0002,0.0008 \pm 0.0002,0.0008 \pm 0.0002,0.0008 \pm 0.0002,0.0008 \pm 0.0002,0.0008 \pm 0.0002,0.0008 \pm 0.0002,0.0008 \pm 0.0002,0.0008 \pm 0.0002,0.0008 \pm 0.0002,0.0008 \pm 0.0002
6.0,0.0019 \pm 0.0004,0.0019 \pm 0.0004,0.0019 \pm 0.0004,0.0019 \pm 0.0004,0.0019 \pm 0.0004,0.0019 \pm 0.0004,0.0019 \pm 0.0004,0.0019 \pm 0.0004,0.0019 \pm 0.0004,0.0019 \pm 0.0004,0.0019 \pm 0.0004,0.0019 \pm 0.0004,0.0019 \pm 0.0004,0.0019 \pm 0.0004,0.0019 \pm 0.0004,0.0019 \pm 0.0004
7.0,0.0023 \pm 0.0003,0.0023 \pm 0.0003,0.0023 \pm 0.0003,0.0023 \pm 0.0003,0.0023 \pm 0.0003,0.0023 \pm 0.0003,0.0023 \pm 0.0003,0.0023 \pm 0.0003,0.0023 \pm 0.0003,0.0023 \pm 0.0003,0.0023 \pm 0.0003,0.0023 \pm 0.0003,0.0023 \pm 0.0003,0.0023 \pm 0.0003,0.0023 \pm 0.0003,0.0023 \pm 0.0003
8.0,0.0018 \pm 0.0002,0.0018 \pm 0.0002,0.0018 \pm 0.0002,0.0018 \pm 0.0002,0.0018 \pm 0.0002,0.0018 \pm 0.0002,0.0018 \pm 0.0002,0.0018 \pm 0.0002,0.0018 \pm 0.0002,0.0018 \pm 0.0002,0.0018 \pm 0.0002,0.0018 \pm 0.0002,0.0018 \pm 0.0002,0.0018 \pm 0.0002,0.0018 \pm 0.0002,0.0018 \pm 0.0002
9.0,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002,0.0017 \pm 0.0002
