idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error
0.000000000000000000e+00,0.000000000000000000e+00,2.474280493241608724e-03,4.616742018853255396e-04,1.083457383794828380e-02,3.111878430802656349e-03
0.000000000000000000e+00,6.666666666666666574e-02,2.474216223897177710e-03,4.616734148110658228e-04,1.083450214098532864e-02,3.111857852698580139e-03
0.000000000000000000e+00,1.333333333333333315e-01,2.474193345959134135e-03,4.616731747396485416e-04,1.083448176927718880e-02,3.111851429554515335e-03
0.000000000000000000e+00,2.000000000000000111e-01,2.474200626674151558e-03,4.616729694501009191e-04,1.083449446030338402e-02,3.111853821203437644e-03
0.000000000000000000e+00,2.666666666666666630e-01,2.474235318287015643e-03,4.616730526544155595e-04,1.083453578983669709e-02,3.111864518566166780e-03
0.000000000000000000e+00,3.333333333333333148e-01,2.474296424115191278e-03,4.616739336311790503e-04,1.083460635697401295e-02,3.111884590364268847e-03
0.000000000000000000e+00,4.000000000000000222e-01,2.474382611737731014e-03,4.616760842804443340e-04,1.083470760711586871e-02,3.111915130173631243e-03
0.000000000000000000e+00,4.666666666666666741e-01,2.474492028248505976e-03,4.616798073079162595e-04,1.083483998611708791e-02,3.111956634156891419e-03
0.000000000000000000e+00,5.333333333333333259e-01,2.474622542366243169e-03,4.616852200742171323e-04,1.083500263672572406e-02,3.112008941259342912e-03
0.000000000000000000e+00,5.999999999999999778e-01,2.474772004253457478e-03,4.616922995515205619e-04,1.083519381450714220e-02,3.112071435200818633e-03
0.000000000000000000e+00,6.666666666666666297e-01,2.474938434856398597e-03,4.617009416809568457e-04,1.083541142164304652e-02,3.112143290546448386e-03
0.000000000000000000e+00,7.333333333333332815e-01,2.475120124840315093e-03,4.617110097742362822e-04,1.083565339667569814e-02,3.112223658320007347e-03
0.000000000000000000e+00,8.000000000000000444e-01,2.475315660384282482e-03,4.617223653811855619e-04,1.083591792179810012e-02,3.112311771558236122e-03
0.000000000000000000e+00,8.666666666666666963e-01,2.475523907279593341e-03,4.617348843801288025e-04,1.083620349558778867e-02,3.112406988811291814e-03
0.000000000000000000e+00,9.333333333333333481e-01,2.475743979708543326e-03,4.617484633297324345e-04,1.083650892905030361e-02,3.112508800119164441e-03
0.000000000000000000e+00,1.000000000000000000e+00,2.475975209339812029e-03,4.617630203431703079e-04,1.083683330715748405e-02,3.112616814444834398e-03
1.000000000000000000e+00,0.000000000000000000e+00,2.388512278632274558e-03,3.625794691531630137e-04,9.780574921439718142e-03,2.744904045724251476e-03
1.000000000000000000e+00,6.666666666666666574e-02,2.388506824313622445e-03,3.625774065987356323e-04,9.780509434299238664e-03,2.744885054952629980e-03
1.000000000000000000e+00,1.333333333333333315e-01,2.388506131750402998e-03,3.625767639561762934e-04,9.780491103684724533e-03,2.744879041775788973e-03
1.000000000000000000e+00,2.000000000000000111e-01,2.388507166677693132e-03,3.625769182756383418e-04,9.780503172415964605e-03,2.744881178699219715e-03
1.000000000000000000e+00,2.666666666666666630e-01,2.388510191917061608e-03,3.625779162624811927e-04,9.780541283603162023e-03,2.744891041499481973e-03
1.000000000000000000e+00,3.333333333333333148e-01,2.388516845007264498e-03,3.625800208857697725e-04,9.780605675527758239e-03,2.744909613345166127e-03
1.000000000000000000e+00,4.000000000000000222e-01,2.388528931532113170e-03,3.625834801739978206e-04,9.780697450416434707e-03,2.744937875347156116e-03
1.000000000000000000e+00,4.666666666666666741e-01,2.388547761951692258e-03,3.625884317423026674e-04,9.780816882564262460e-03,2.744976258004086511e-03
1.000000000000000000e+00,5.333333333333333259e-01,2.388573998585388162e-03,3.625948938849341626e-04,9.780963123285274508e-03,2.745024595917802072e-03
1.000000000000000000e+00,5.999999999999999778e-01,2.388607787597399681e-03,3.626027989929200661e-04,9.781134563734576737e-03,2.745082313305481202e-03
1.000000000000000000e+00,6.666666666666666297e-01,2.388648963325406584e-03,3.626120351603645867e-04,9.781329305823300777e-03,2.745148647130767148e-03
1.000000000000000000e+00,7.333333333333332815e-01,2.388697217709124555e-03,3.626224785861999656e-04,9.781545504144858669e-03,2.745222814899618557e-03
1.000000000000000000e+00,8.000000000000000444e-01,2.388752208477151837e-03,3.626340129697438477e-04,9.781781545114174095e-03,2.745304109863604819e-03
1.000000000000000000e+00,8.666666666666666963e-01,2.388813615732668025e-03,3.626465384795324993e-04,9.782036106612275461e-03,2.745391940124457253e-03
1.000000000000000000e+00,9.333333333333333481e-01,2.388881164674619677e-03,3.626599741839320215e-04,9.782308149882157008e-03,2.745485833937822643e-03
1.000000000000000000e+00,1.000000000000000000e+00,2.388954629335060618e-03,3.626742570627252771e-04,9.782596881233897659e-03,2.745585428433189572e-03
2.000000000000000000e+00,0.000000000000000000e+00,1.024602792548356695e-03,1.186916643877674368e-04,5.521751466129173544e-03,1.567360755288845203e-03
2.000000000000000000e+00,6.666666666666666574e-02,1.024537924639760652e-03,1.186917190602706558e-04,5.521713025744368585e-03,1.567351076555559232e-03
2.000000000000000000e+00,1.333333333333333315e-01,1.024517866642159040e-03,1.186917486237387302e-04,5.521702258478691436e-03,1.567348032953874096e-03
2.000000000000000000e+00,2.000000000000000111e-01,1.024529974252776912e-03,1.186916540554807477e-04,5.521709286406600338e-03,1.567349100380605736e-03
2.000000000000000000e+00,2.666666666666666630e-01,1.024568752693816786e-03,1.186915257176793291e-04,5.521731643247271629e-03,1.567354074980972138e-03
2.000000000000000000e+00,3.333333333333333148e-01,1.024630947445808989e-03,1.186915208684334870e-04,5.521769596238545671e-03,1.567363504093503704e-03
2.000000000000000000e+00,4.000000000000000222e-01,1.024713862322305588e-03,1.186917867038364397e-04,5.521823902878425158e-03,1.567377938445587305e-03
2.000000000000000000e+00,4.666666666666666741e-01,1.024814885589703109e-03,1.186924230418819423e-04,5.521894797036454479e-03,1.567397635298090498e-03
2.000000000000000000e+00,5.333333333333333259e-01,1.024931512269557912e-03,1.186934766542740852e-04,5.521981814683327335e-03,1.567422531078597938e-03
2.000000000000000000e+00,5.999999999999999778e-01,1.025061495814510396e-03,1.186949531116958623e-04,5.522084016025552433e-03,1.567452339125232881e-03
2.000000000000000000e+00,6.666666666666666297e-01,1.025202958691167482e-03,1.186968331167237916e-04,5.522200273520912195e-03,1.567486668623714651e-03
2.000000000000000000e+00,7.333333333333332815e-01,1.025354422807539436e-03,1.186990861108054400e-04,5.522329482092859856e-03,1.567525114588179391e-03
2.000000000000000000e+00,8.000000000000000444e-01,1.025514780178337021e-03,1.187016791741840702e-04,5.522470670531963097e-03,1.567567309344828361e-03
2.000000000000000000e+00,8.666666666666666963e-01,1.025683235125226904e-03,1.187045818677204089e-04,5.522623040092260183e-03,1.567612944075203558e-03
2.000000000000000000e+00,9.333333333333333481e-01,1.025859240934683505e-03,1.187077683473337827e-04,5.522785961630369625e-03,1.567661772200780674e-03
2.000000000000000000e+00,1.000000000000000000e+00,1.026042443086425853e-03,1.187112179026167630e-04,5.522958954113594242e-03,1.567713603740539426e-03
3.000000000000000000e+00,0.000000000000000000e+00,3.183283556149472254e-03,1.638310073010918030e-04,7.474717185336753403e-03,1.617987443197432080e-03
3.000000000000000000e+00,6.666666666666666574e-02,3.183226587014522432e-03,1.638310404964555514e-04,7.474659335070932623e-03,1.617978022263369701e-03
3.000000000000000000e+00,1.333333333333333315e-01,3.183209730900031249e-03,1.638310601906447833e-04,7.474642379847226681e-03,1.617975142760748547e-03
3.000000000000000000e+00,2.000000000000000111e-01,3.183219959256861596e-03,1.638309291426491131e-04,7.474651834224970912e-03,1.617976289952412260e-03
