     ,0.046           ,0.058           ,0.069           ,0.081           ,0.092           ,0.104           ,0.116           ,0.127           ,0.139           ,0.15            ,0.162           ,0.174           ,0.185           ,0.197           ,0.208           ,0.22
 0.0 ,0.011 \pm 0.0   ,0.011 \pm 0.0   ,0.011 \pm 0.0   ,0.011 \pm 0.0   ,0.011 \pm 0.001 ,0.011 \pm 0.001 ,0.011 \pm 0.001 ,0.011 \pm 0.001 ,0.011 \pm 0.001 ,0.012 \pm 0.001 ,0.012 \pm 0.001 ,0.012 \pm 0.001 ,0.012 \pm 0.001 ,0.012 \pm 0.001 ,0.014 \pm 0.004 ,0.092 \pm 0.166
 1.0 ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.01 \pm 0.0    ,0.01 \pm 0.0    ,0.017 \pm 0.011 ,0.042 \pm 0.017
 2.0 ,0.012 \pm 0.0   ,0.012 \pm 0.0   ,0.011 \pm 0.0   ,0.011 \pm 0.0   ,0.011 \pm 0.0   ,0.011 \pm 0.0   ,0.011 \pm 0.0   ,0.012 \pm 0.0   ,0.012 \pm 0.0   ,0.012 \pm 0.0   ,0.012 \pm 0.0   ,0.012 \pm 0.0   ,0.012 \pm 0.0   ,0.012 \pm 0.0   ,0.015 \pm 0.005 ,1.486 \pm 3.004
 3.0 ,0.012 \pm 0.0   ,0.012 \pm 0.0   ,0.012 \pm 0.0   ,0.011 \pm 0.0   ,0.011 \pm 0.0   ,0.011 \pm 0.0   ,0.011 \pm 0.0   ,0.011 \pm 0.0   ,0.012 \pm 0.0   ,0.012 \pm 0.0   ,0.012 \pm 0.0   ,0.012 \pm 0.0   ,0.013 \pm 0.0   ,0.013 \pm 0.001 ,0.021 \pm 0.007 ,0.348 \pm 0.563
 4.0 ,0.058 \pm 0.001 ,0.058 \pm 0.001 ,0.057 \pm 0.001 ,0.056 \pm 0.001 ,0.055 \pm 0.001 ,0.055 \pm 0.001 ,0.055 \pm 0.001 ,0.055 \pm 0.001 ,0.056 \pm 0.001 ,0.056 \pm 0.001 ,0.055 \pm 0.001 ,0.056 \pm 0.002 ,0.059 \pm 0.003 ,0.064 \pm 0.004 ,0.1 \pm 0.078   ,0.188 \pm 0.269
 5.0 ,0.016 \pm 0.001 ,0.016 \pm 0.0   ,0.016 \pm 0.0   ,0.015 \pm 0.0   ,0.015 \pm 0.0   ,0.015 \pm 0.0   ,0.015 \pm 0.0   ,0.015 \pm 0.001 ,0.015 \pm 0.001 ,0.015 \pm 0.001 ,0.015 \pm 0.001 ,0.015 \pm 0.001 ,0.015 \pm 0.001 ,0.016 \pm 0.001 ,0.021 \pm 0.008 ,1.015 \pm 1.98
 6.0 ,0.007 \pm 0.0   ,0.007 \pm 0.0   ,0.007 \pm 0.0   ,0.007 \pm 0.0   ,0.008 \pm 0.0   ,0.008 \pm 0.0   ,0.008 \pm 0.0   ,0.008 \pm 0.0   ,0.008 \pm 0.0   ,0.008 \pm 0.0   ,0.008 \pm 0.0   ,0.008 \pm 0.0   ,0.008 \pm 0.0   ,0.008 \pm 0.0   ,0.013 \pm 0.011 ,0.036 \pm 0.021
 7.0 ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.001 ,0.009 \pm 0.001 ,0.009 \pm 0.001 ,0.009 \pm 0.001 ,0.009 \pm 0.001 ,0.009 \pm 0.001 ,0.01 \pm 0.001  ,0.01 \pm 0.001  ,0.01 \pm 0.001  ,0.011 \pm 0.001 ,0.021 \pm 0.014 ,0.355 \pm 0.627
 8.0 ,0.01 \pm 0.0    ,0.01 \pm 0.0    ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.001 ,0.009 \pm 0.001 ,0.009 \pm 0.001 ,0.009 \pm 0.001 ,0.01 \pm 0.001  ,0.01 \pm 0.001  ,0.01 \pm 0.001  ,0.01 \pm 0.001  ,0.018 \pm 0.014 ,0.509 \pm 0.931
 9.0 ,0.009 \pm 0.0   ,0.008 \pm 0.0   ,0.008 \pm 0.0   ,0.008 \pm 0.0   ,0.009 \pm 0.0   ,0.009 \pm 0.0   ,0.01 \pm 0.0    ,0.01 \pm 0.0    ,0.01 \pm 0.0    ,0.011 \pm 0.0   ,0.011 \pm 0.0   ,0.011 \pm 0.0   ,0.011 \pm 0.0   ,0.012 \pm 0.0   ,0.015 \pm 0.005 ,0.049 \pm 0.013
