idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error,crashed
0.000000000000000000e+00,0.000000000000000000e+00,1.126849380643624339e-02,4.006917143693587550e-04,1.249644611274247120e-02,4.400179481112298919e-04,0.000000000000000000e+00
0.000000000000000000e+00,6.666666666666666574e-02,1.123414292762276757e-02,3.873772672094818645e-04,1.248240221236484628e-02,4.271712118399763943e-04,0.000000000000000000e+00
0.000000000000000000e+00,1.333333333333333315e-01,1.112202992200278344e-02,4.009373924142991077e-04,1.239716595730991355e-02,4.427720973441973953e-04,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.105097300516373268e-02,4.728070073816308984e-04,1.234317671908291038e-02,5.209225816260304844e-04,0.000000000000000000e+00
0.000000000000000000e+00,2.666666666666666630e-01,1.103390615220492706e-02,5.169146661835157322e-04,1.232664750372220418e-02,5.634862633453499537e-04,0.000000000000000000e+00
0.000000000000000000e+00,3.333333333333333148e-01,1.110753313866077140e-02,5.943505412671388566e-04,1.239950201304173757e-02,6.415370486308125597e-04,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000222e-01,1.119767886889101553e-02,6.511748567399971120e-04,1.248403768768711897e-02,6.959292542040415759e-04,0.000000000000000000e+00
0.000000000000000000e+00,4.666666666666666741e-01,1.131652142059908286e-02,7.092147773536193033e-04,1.259775542545736246e-02,7.531229139938626404e-04,0.000000000000000000e+00
0.000000000000000000e+00,5.333333333333333259e-01,1.143647564871577184e-02,7.354607263085110105e-04,1.271355545603977157e-02,7.774898993451855858e-04,0.000000000000000000e+00
0.000000000000000000e+00,5.999999999999999778e-01,1.156500338385488616e-02,7.492077195552595582e-04,1.284457419582935890e-02,7.903284628523275096e-04,0.000000000000000000e+00
0.000000000000000000e+00,6.666666666666666297e-01,1.170150846788040738e-02,7.511169937314878539e-04,1.299220007798255680e-02,7.924993474505243008e-04,0.000000000000000000e+00
0.000000000000000000e+00,7.333333333333332815e-01,1.185277846516386707e-02,7.425629410068225900e-04,1.316570611285986826e-02,7.860006664343048999e-04,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.203568195858265542e-02,7.238440154231777805e-04,1.338594122542236496e-02,7.726246521554217548e-04,0.000000000000000000e+00
0.000000000000000000e+00,8.666666666666666963e-01,1.231112064557558609e-02,6.905407974446064545e-04,1.371866820990820177e-02,7.517263954623483934e-04,0.000000000000000000e+00
0.000000000000000000e+00,9.333333333333333481e-01,1.437017753660675343e-02,3.670048691515926092e-03,1.665668194017678322e-02,5.553203359310474214e-03,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,9.158681034499019380e-02,1.662508990220021854e-01,3.242863949864964179e-01,8.381280675052830142e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,9.317156516044583850e-03,3.098561054655216336e-04,1.043655160897671332e-02,3.031862894711046322e-04,0.000000000000000000e+00
1.000000000000000000e+00,6.666666666666666574e-02,9.286208381198281930e-03,2.995533525490972661e-04,1.040177149154920475e-02,2.906296377328075739e-04,0.000000000000000000e+00
1.000000000000000000e+00,1.333333333333333315e-01,9.187396455696951111e-03,2.812891097444981535e-04,1.028868920138351593e-02,2.706836235182221578e-04,0.000000000000000000e+00
